cat1,cat2,cat3,brand,sku_size,product_id,producto_estrella
HC,ROPA LAVADO,Liquido,LIMPIEX,900,20280,0
HC,ROPA LAVADO,Liquido,LIMPIEX,450,20180,0
HC,ROPA LAVADO,Liquido,LIMPIEX,120,20332,0
HC,ROPA LAVADO,Liquido,LIMPIEX,450,20222,0
HC,ROPA LAVADO,Liquido,LIMPIEX,900,20288,0
HC,ROPA LAVADO,Liquido,LIMPIEX,900,20582,0
HC,ROPA LAVADO,Liquido,LIMPIEX,450,20507,0
HC,ROPA LAVADO,Liquido,LIMPIEX,500,20740,0
HC,ROPA MANCHAS,Ladrillo,LIMPIEX,200,20082,0
HC,ROPA MANCHAS,Ladrillo,LIMPIEX,200,20039,0
HC,VAJILLA,Opaco,LIMPIEX,750,20017,0
HC,VAJILLA,Opaco,LIMPIEX,750,20008,0
HC,VAJILLA,Cristalino,LIMPIEX,750,20018,0
HC,VAJILLA,Cristalino,LIMPIEX,750,20109,0
HC,VAJILLA,Cristalino,LIMPIEX,750,20006,1
HC,PROFESIONAL,Liquido,LIMPIEX,5000,20487,0
HC,ROPA LAVADO,Liquido,LIMPIEX,2,21052,0
HC,ROPA LAVADO,Liquido,LIMPIEX,400,20174,0
HC,ROPA LAVADO,Liquido,LIMPIEX,1400,20126,0
HC,ROPA LAVADO,Liquido,LIMPIEX,3000,20085,0
HC,ROPA LAVADO,Liquido,LIMPIEX,1500,20110,0
HC,ROPA LAVADO,Liquido,LIMPIEX,800,20026,0
HC,ROPA LAVADO,Liquido,LIMPIEX,3000,20002,1
HC,ROPA LAVADO,Liquido,LIMPIEX,1500,20373,0
HC,ROPA LAVADO,Liquido,LIMPIEX,3000,20168,0
HC,ROPA LAVADO,Polvo,LIMPIEX,1500,20156,0
HC,ROPA LAVADO,Polvo,LIMPIEX,800,20455,0
HC,ROPA LAVADO,Polvo,LIMPIEX,3000,20498,0
HC,ROPA LAVADO,Polvo,LIMPIEX,800,20043,0
HC,ROPA LAVADO,Polvo,LIMPIEX,3000,20024,0
HC,VAJILLA,Opaco,LIMPIEX,1250,20097,0
HC,VAJILLA,Opaco,LIMPIEX,4000,20099,0
HC,VAJILLA,Cristalino,LIMPIEX,750,20029,0
HC,VAJILLA,Cristalino,LIMPIEX,4000,20178,0
HC,VAJILLA,Cristalino,LIMPIEX,750,20040,0
HC,PROFESIONAL,Polvo,LIMPIEX,10000,20164,0
HC,ROPA LAVADO,Polvo,LIMPIEX,400,20010,0
HC,ROPA LAVADO,Polvo,LIMPIEX,800,20022,0
HC,ROPA LAVADO,Polvo,LIMPIEX,3000,20025,0
HC,ROPA LAVADO,Polvo,LIMPIEX,400,20021,0
HC,ROPA LAVADO,Polvo,LIMPIEX,800,20020,0
HC,ROPA LAVADO,Polvo,LIMPIEX,5000,20030,0
HC,ROPA LAVADO,Polvo,LIMPIEX,3000,20011,1
HC,ROPA LAVADO,Polvo,LIMPIEX,400,20035,0
HC,ROPA LAVADO,Polvo,LIMPIEX,800,20031,0
HC,ROPA LAVADO,Polvo,LIMPIEX,3000,20016,0
HC,ROPA LAVADO,Liquido,LIMPIEX,400,20439,0
HC,ROPA LAVADO,Liquido,LIMPIEX,400,20731,0
HC,ROPA LAVADO,Liquido,LIMPIEX,400,20493,0
HC,ROPA LAVADO,Polvo,LIMPIEX,420,20814,0
HC,ROPA LAVADO,Polvo,LIMPIEX,400,20041,0
HC,ROPA LAVADO,Polvo,LIMPIEX,800,20050,0
HC,VAJILLA,Opaco,LIMPIEX,300,20345,0
HC,VAJILLA,Opaco,LIMPIEX,500,20546,0
HC,PROFESIONAL,Opaco,LIMPIEX,5000,20576,0
HC,VAJILLA,Opaco,LIMPIEX,300,20233,0
HC,VAJILLA,Opaco,LIMPIEX,500,20361,0
HC,VAJILLA,Cristalino,LIMPIEX,450,20286,0
HC,VAJILLA,Cristalino,LIMPIEX,300,20442,0
HC,VAJILLA,Cristalino,LIMPIEX,500,20548,0
HC,VAJILLA,Cristalino,LIMPIEX,300,20148,0
HC,VAJILLA,Cristalino,LIMPIEX,500,20162,0
HC,VAJILLA,Cristalino,LIMPIEX,750,20620,0
PC,DEOS,Aero,COLBERT,90,20811,0
PC,DEOS,Aero,COLBERT,90,20866,0
PC,DEOS,Aero,COLBERT,89,20844,0
PC,DEOS,Aero,COLBERT,100,20818,0
PC,DEOS,Aero,COLBERT,110,21061,0
PC,DEOS,Aero,COLBERT,100,20481,0
PC,PIEL2,Gel Ducha,COLBERT,200,21128,0
PC,CABELLO,Styling,COLBERT,75,21176,0
PC,CABELLO,Styling,COLBERT,75,21227,0
PC,CABELLO,Styling,COLBERT,75,21164,0
PC,DEOS,Aero,COLBERT,90,20539,0
PC,DEOS,Aero,COLBERT,90,20898,0
PC,DEOS,Aero,COLBERT,90,20599,0
PC,DEOS,Aero,COLBERT,90,20972,0
PC,DEOS,Aero,COLBERT,90,20920,0
PC,DEOS,Aero,COLBERT,90,20912,0
PC,DEOS,Aero,COLBERT,90,20904,0
PC,DEOS,Aero,COLBERT,100,20267,0
PC,DEOS,Aero,COLBERT,100,20590,0
PC,DEOS,Aero,COLBERT,100,20367,0
PC,DEOS,Aero,COLBERT,100,20321,0
PC,DEOS,Aero,COLBERT,100,20452,0
PC,DEOS,Aero,COLBERT,100,20496,0
PC,DEOS,Aero,COLBERT,100,20386,0
PC,DEOS,Aero,COLBERT,100,20799,0
PC,DEOS,Aero,COLBERT,100,20566,0
PC,DEOS,Aero,COLBERT,100,20263,0
PC,DEOS,Aero,COLBERT,110,21078,0
PC,DEOS,Aero,COLBERT,90,20536,0
PC,DEOS,Aero,COLBERT,110,21106,0
PC,DEOS,Aero,COLBERT,100,20719,0
PC,DEOS,NoAero,COLBERT,50,21156,0
PC,DEOS,NoAero,COLBERT,55,21027,0
PC,DEOS,NoAero,COLBERT,55,21071,0
PC,DEOS,NoAero,COLBERT,50,21196,0
PC,PIEL2,Gel Ducha,COLBERT,250,21068,0
PC,PIEL2,Gel Ducha,COLBERT,250,21051,0
PC,CABELLO,Styling,COLBERT,170,21034,0
PC,CABELLO,Styling,COLBERT,170,21040,0
FOODS,SOPAS Y CALDOS,PurePapas,SALSATI,100,20460,0
FOODS,SOPAS Y CALDOS,Salsas,SALSATI,350,20237,0
FOODS,SOPAS Y CALDOS,Salsas,SALSATI,350,20186,0
FOODS,SOPAS Y CALDOS,Salsas,SALSATI,350,20229,0
FOODS,SOPAS Y CALDOS,Salsas,SALSATI,350,20760,0
FOODS,SOPAS Y CALDOS,Salsas,SALSATI,350,20723,0
HC,VAJILLA,Gel,MUSCULO,900,20185,0
HC,VAJILLA,Gel,MUSCULO,300,20144,0
HC,VAJILLA,Gel,MUSCULO,500,20124,0
HC,VAJILLA,Gel,MUSCULO,300,20070,0
HC,VAJILLA,Gel,MUSCULO,500,20042,0
HC,VAJILLA,Gel,MUSCULO,750,20202,0
HC,VAJILLA,Gel,MUSCULO,300,20103,0
HC,VAJILLA,Gel,MUSCULO,500,20063,0
HC,VAJILLA,Gel,MUSCULO,750,20183,0
HC,PROFESIONAL,Gel,MUSCULO,5000,20886,0
HC,VAJILLA,Gel,MUSCULO,450,20073,0
HC,VAJILLA,Gel,MUSCULO,300,20412,0
HC,VAJILLA,Gel,MUSCULO,500,20374,0
HC,VAJILLA,Gel,MUSCULO,750,20564,0
HC,VAJILLA,Gel,MUSCULO,300,20477,0
HC,VAJILLA,Gel,MUSCULO,500,20408,0
HC,VAJILLA,Gel,MUSCULO,750,20712,0
HC,VAJILLA,Gel,MUSCULO,900,20165,0
HC,VAJILLA,Gel,MUSCULO,450,20112,0
HC,VAJILLA,Gel,MUSCULO,300,20485,0
HC,VAJILLA,Gel,MUSCULO,500,20376,0
HC,VAJILLA,Gel,MUSCULO,750,20595,0
HC,PROFESIONAL,Antigrasa,MUSCULO,5000,20395,0
HC,HOGAR,Antigrasa,MUSCULO,900,20068,0
HC,HOGAR,Antigrasa,MUSCULO,450,20027,0
HC,HOGAR,Antigrasa,MUSCULO,500,20246,0
HC,HOGAR,Esponja,MUSCULO,1,21212,0
HC,HOGAR,Esponja,MUSCULO,1,21184,0
HC,HOGAR,Esponja,MUSCULO,1,21155,0
HC,HOGAR,Paño,MUSCULO,3,20803,0
HC,HOGAR,Paño,MUSCULO,1,20941,0
HC,HOGAR,Paño,MUSCULO,1,21167,0
HC,HOGAR,Paño,MUSCULO,1,21195,0
HC,HOGAR,Baño,MUSCULO,900,20137,0
HC,HOGAR,Baño,MUSCULO,450,20076,0
HC,HOGAR,Baño,MUSCULO,500,20357,0
HC,PROFESIONAL,Baño,MUSCULO,5000,20604,0
HC,PROFESIONAL,Cloro,MUSCULO,5000,20916,0
HC,HOGAR,Cremoso,MUSCULO,375,20205,0
HC,HOGAR,Cremoso,MUSCULO,750,20092,0
HC,HOGAR,Cremoso,MUSCULO,375,20166,0
HC,HOGAR,Cremoso,MUSCULO,750,20065,0
HC,HOGAR,Cremoso,MUSCULO,375,20057,0
HC,HOGAR,Cremoso,MUSCULO,750,20013,0
HC,HOGAR,Cremoso,MUSCULO,150,21095,0
HC,HOGAR,Cremoso,MUSCULO,750,20163,0
HC,PROFESIONAL,Cremoso,MUSCULO,3000,20313,0
HC,HOGAR,Cremoso,MUSCULO,375,20209,0
HC,HOGAR,Cremoso,MUSCULO,750,20114,0
HC,HOGAR,Cremoso,MUSCULO,375,20312,0
HC,HOGAR,Gel,MUSCULO,250,20785,0
HC,HOGAR,Gel,MUSCULO,500,20593,0
HC,HOGAR,Gel,MUSCULO,500,20160,0
HC,HOGAR,Gel,MUSCULO,500,20293,0
HC,PROFESIONAL,Gel,MUSCULO,2000,20479,0
HC,HOGAR,Baño,MUSCULO,450,20281,0
HC,HOGAR,Baño,MUSCULO,500,20653,0
HC,HOGAR,Gel,MUSCULO,250,20681,0
HC,HOGAR,Gel,MUSCULO,500,20510,0
HC,HOGAR,PISOS,MUSCULO,750,20341,0
HC,PROFESIONAL,PISOS,MUSCULO,5000,20845,0
HC,PROFESIONAL,PISOS,MUSCULO,5000,20953,0
HC,VAJILLA,Cremoso,MUSCULO,300,20816,0
HC,HOGAR,PISOS,MUSCULO,2000,20206,0
HC,HOGAR,Paño,MUSCULO,1,21048,0
HC,HOGAR,PISOS,MUSCULO,750,20201,0
HC,HOGAR,PISOS,MUSCULO,450,20254,0
HC,HOGAR,PISOS,MUSCULO,750,20478,0
HC,HOGAR,PISOS,MUSCULO,450,20390,0
HC,HOGAR,PISOS,MUSCULO,750,20415,0
HC,HOGAR,PISOS,MUSCULO,450,20319,0
HC,HOGAR,PISOS,MUSCULO,450,20447,0
HC,HOGAR,PISOS,MUSCULO,750,20508,0
HC,HOGAR,PISOS,MUSCULO,750,20836,0
HC,HOGAR,PISOS,MUSCULO,450,20763,0
HC,HOGAR,PISOS,MUSCULO,15,21203,0
HC,HOGAR,PISOS,MUSCULO,750,20197,0
HC,HOGAR,Baño,MUSCULO,450,20366,0
HC,HOGAR,Antigrasa,MUSCULO,450,20308,0
HC,HOGAR,Paño,MUSCULO,1,21180,0
HC,HOGAR,Baño,MUSCULO,450,20253,0
HC,HOGAR,Lustramuebles,MUSCULO,375,20889,0
HC,HOGAR,Lustramuebles,MUSCULO,400,20834,0
HC,HOGAR,Vidrios,MUSCULO,900,20129,0
HC,HOGAR,Vidrios,MUSCULO,450,20053,0
HC,HOGAR,Vidrios,MUSCULO,500,20219,0
HC,PROFESIONAL,Vidrios,MUSCULO,5000,20638,0
HC,HOGAR,Vidrios,MUSCULO,500,20543,0
PC,CABELLO,ACONDICIONADOR,CAPILATIS,400,20893,0
PC,CABELLO,ACONDICIONADOR,CAPILATIS,200,21079,0
PC,CABELLO,ACONDICIONADOR,CAPILATIS,400,20824,0
PC,CABELLO,SHAMPOO,CAPILATIS,200,20656,0
PC,CABELLO,SHAMPOO,CAPILATIS,400,20560,0
PC,CABELLO,SHAMPOO,CAPILATIS,200,20606,0
PC,CABELLO,SHAMPOO,CAPILATIS,400,20482,0
PC,CABELLO,SHAMPOO,CAPILATIS,200,20579,0
PC,CABELLO,SHAMPOO,CAPILATIS,400,20470,0
PC,CABELLO,SHAMPOO,CAPILATIS,200,20745,0
PC,CABELLO,SHAMPOO,CAPILATIS,400,20910,0
PC,CABELLO,SHAMPOO,CAPILATIS,400,20698,0
PC,CABELLO,SHAMPOO,CAPILATIS,200,20713,0
PC,CABELLO,SHAMPOO,CAPILATIS,400,20596,0
PC,DENTAL,CREMA,COLGATE,180,20751,0
PC,DENTAL,CREMA,COLGATE,90,20585,0
PC,DENTAL,CREMA,COLGATE,180,20742,0
PC,DENTAL,CREMA,COLGATE,90,20563,0
PC,DENTAL,CREMA,COLGATE,90,20612,0
PC,DENTAL,CREMA,COLGATE,90,20699,0
PC,DENTAL,CREMA,COLGATE,90,20883,0
PC,DENTAL,CREMA,COLGATE,90,20985,0
PC,DENTAL,CREMA,COLGATE,90,20956,0
PC,DENTAL,CREMA,COLGATE,90,20906,0
PC,DENTAL,Cepilllo,COLGATE,1,21201,0
PC,DENTAL,Cepilllo,COLGATE,2,21118,0
PC,DENTAL,Cepilllo,COLGATE,2,21194,0
PC,DENTAL,Cepilllo,COLGATE,2,21207,0
HC,PROFESIONAL,SUAVIZANTE,VIVERE,2000,21216,0
HC,ROPA ACONDICIONADOR,Concentrado,VIVERE,450,20705,0
HC,ROPA ACONDICIONADOR,Concentrado,VIVERE,1000,20666,0
HC,ROPA ACONDICIONADOR,Concentrado,VIVERE,1000,20737,0
HC,ROPA ACONDICIONADOR,Concentrado,VIVERE,1000,20304,0
HC,ROPA ACONDICIONADOR,Concentrado,VIVERE,450,20473,0
HC,ROPA ACONDICIONADOR,Concentrado,VIVERE,1000,20588,0
HC,ROPA ACONDICIONADOR,Concentrado,VIVERE,450,20724,0
HC,ROPA ACONDICIONADOR,Concentrado,VIVERE,450,20978,0
HC,ROPA ACONDICIONADOR,Concentrado,VIVERE,1000,20752,0
HC,ROPA ACONDICIONADOR,Concentrado,VIVERE,1000,20881,0
HC,ROPA ACONDICIONADOR,Diluido,VIVERE,2000,20371,0
HC,ROPA ACONDICIONADOR,Diluido,VIVERE,900,20055,0
HC,ROPA ACONDICIONADOR,Diluido,VIVERE,900,20217,0
HC,ROPA ACONDICIONADOR,Diluido,VIVERE,3000,20056,0
HC,PROFESIONAL,SUAVIZANTE,VIVERE,5000,20513,0
HC,ROPA ACONDICIONADOR,Diluido,VIVERE,4000,20190,0
PC,CABELLO,Acond Mujer,NIVEA,200,20876,0
PC,CABELLO,Acond Mujer,NIVEA,400,20703,0
PC,CABELLO,Acond Mujer,NIVEA,750,20738,0
PC,CABELLO,Acond Mujer,NIVEA,200,20434,0
PC,CABELLO,Acond Mujer,NIVEA,400,20290,0
PC,CABELLO,Acond Mujer,NIVEA,200,20571,0
PC,CABELLO,Acond Mujer,NIVEA,400,20368,0
PC,CABELLO,Acond Mujer,NIVEA,200,20401,0
PC,CABELLO,Acond Mujer,NIVEA,400,20256,0
PC,CABELLO,Acond Mujer,NIVEA,400,20748,0
PC,CABELLO,Acond Mujer,NIVEA,750,20469,0
PC,CABELLO,Acond Mujer,NIVEA,750,20909,0
PC,CABELLO,Acond Mujer,NIVEA,200,20955,0
PC,CABELLO,Acond Mujer,NIVEA,400,20869,0
PC,CABELLO,Acond Mujer,NIVEA,400,20727,0
PC,CABELLO,Acond Mujer,NIVEA,10,20879,0
PC,CABELLO,Acond Mujer,NIVEA,750,20833,0
PC,CABELLO,Acond Mujer,NIVEA,200,20330,0
PC,CABELLO,Acond Mujer,NIVEA,400,20212,0
PC,CABELLO,Acond Mujer,NIVEA,750,20335,0
PC,CABELLO,Acond Mujer,NIVEA,930,21175,0
PC,CABELLO,Acond Mujer,NIVEA,200,20534,0
PC,CABELLO,Acond Mujer,NIVEA,400,20444,0
PC,CABELLO,Acond Mujer,NIVEA,750,20766,0
PC,CABELLO,Acond Mujer,NIVEA,200,20867,0
PC,CABELLO,Acond Mujer,NIVEA,400,20734,0
PC,CABELLO,Acond Mujer,NIVEA,750,20934,0
PC,CABELLO,Acond Mujer,NIVEA,400,20662,0
PC,CABELLO,Acond Mujer,NIVEA,400,20417,0
PC,CABELLO,Acond Mujer,NIVEA,180,20631,0
PC,CABELLO,Acond Mujer,NIVEA,200,20815,0
PC,CABELLO,Acond Mujer,NIVEA,400,20343,0
PC,CABELLO,Acond Mujer,NIVEA,750,20915,0
PC,CABELLO,Acond Mujer,NIVEA,400,20673,0
PC,DEOS,Aero,NIVEA,90,20946,0
PC,DEOS,Aero,NIVEA,100,20535,0
PC,DEOS,Aero,NIVEA,55,20901,0
PC,DEOS,Aero,NIVEA,55,20768,0
PC,DEOS,Aero,NIVEA,100,20856,0
PC,CABELLO,Acond Bebe,NIVEA,200,20783,0
PC,PIEL2,Jabon Bebe,NIVEA,180,20793,0
PC,PIEL2,Jabon Bebe,NIVEA,180,20831,0
PC,CABELLO,Shampoo Bebe,NIVEA,200,20853,0
PC,CABELLO,Shampoo Bebe,NIVEA,400,21026,0
PC,CABELLO,Shampoo Bebe,NIVEA,200,20981,0
PC,CABELLO,Shampoo Bebe,NIVEA,400,21054,0
PC,CABELLO,Shampoo Bebe,NIVEA,200,20658,0
PC,CABELLO,Shampoo Bebe,NIVEA,400,20622,0
PC,PIEL2,Toallitas Bebe,NIVEA,50,20642,0
PC,PIEL2,Toallitas Bebe,NIVEA,50,20651,0
PC,DEOS,Aero,NIVEA,65,21087,0
PC,DEOS,Aero,NIVEA,50,21126,0
PC,CABELLO,ACONDICIONADOR,NIVEA,400,20769,0
PC,CABELLO,ACONDICIONADOR,NIVEA,200,20943,0
PC,CABELLO,ACONDICIONADOR,NIVEA,180,20340,0
PC,CABELLO,ACONDICIONADOR,NIVEA,200,20598,0
PC,CABELLO,ACONDICIONADOR,NIVEA,400,20610,0
PC,PIEL1,Cuerpo,NIVEA,400,20971,0
PC,PIEL1,Cara,NIVEA,140,21276,0
PC,PIEL1,Cuerpo,NIVEA,400,21069,0
PC,PIEL1,Cuerpo,NIVEA,400,20809,0
PC,PIEL1,Cuerpo,NIVEA,200,21039,0
PC,PIEL1,Cuerpo,NIVEA,400,20933,0
PC,PIEL1,Cuerpo,NIVEA,200,20830,0
PC,PIEL1,Cuerpo,NIVEA,400,20696,0
PC,PIEL1,Cuerpo,NIVEA,200,20963,0
PC,PIEL1,Cuerpo,NIVEA,400,20959,0
PC,PIEL1,Cuerpo,NIVEA,200,20826,0
PC,PIEL1,Cuerpo,NIVEA,400,20680,0
PC,CABELLO,Tratamiento Fem,NIVEA,200,20952,0
PC,CABELLO,Tratamiento Fem,NIVEA,200,20977,0
PC,CABELLO,Tratamiento Fem,NIVEA,200,20969,0
PC,CABELLO,Tratamiento Fem,NIVEA,350,21294,0
PC,CABELLO,Tratamiento Fem,NIVEA,350,21094,0
PC,CABELLO,Tratamiento Fem,NIVEA,350,20755,0
PC,CABELLO,Tratamiento Fem,NIVEA,350,20718,0
PC,CABELLO,Tratamiento Fem,NIVEA,15,21260,0
PC,CABELLO,Tratamiento Fem,NIVEA,350,20776,0
PC,DEOS,Aero,NIVEA,89,20410,0
PC,DEOS,Aero,NIVEA,89,21115,0
PC,DEOS,Aero,NIVEA,89,21082,0
PC,DEOS,Aero,NIVEA,89,20569,0
PC,DEOS,Aero,NIVEA,89,20679,0
PC,DEOS,Aero,NIVEA,89,20315,0
PC,DEOS,Aero,NIVEA,89,20720,0
PC,DEOS,Aero,NIVEA,89,20122,0
PC,DEOS,Aero,NIVEA,89,20359,0
PC,DEOS,Aero,NIVEA,89,20453,0
PC,DEOS,Aero,NIVEA,89,20349,0
PC,DEOS,Aero,NIVEA,90,20924,0
PC,DEOS,RollOn,NIVEA,50,20967,0
PC,DEOS,RollOn,NIVEA,50,21035,0
PC,DEOS,RollOn,NIVEA,50,21214,0
PC,DEOS,RollOn,NIVEA,50,20887,0
PC,DEOS,RollOn,NIVEA,50,20777,0
PC,DEOS,RollOn,NIVEA,50,20697,0
PC,DEOS,RollOn,NIVEA,50,20839,0
PC,DEOS,RollOn,NIVEA,50,20807,0
PC,DEOS,RollOn,NIVEA,50,20973,0
PC,DEOS,RollOn,NIVEA,50,20908,0
PC,DEOS,RollOn,NIVEA,50,20913,0
PC,DEOS,RollOn,NIVEA,50,20326,0
PC,DEOS,RollOn,NIVEA,50,20954,0
PC,DEOS,Barra,NIVEA,50,21084,0
PC,DEOS,Barra,NIVEA,50,21109,0
PC,DEOS,Stick,NIVEA,50,21171,0
PC,DEOS,Stick,NIVEA,50,21008,0
PC,DEOS,Stick,NIVEA,50,20637,0
PC,PIEL1,Limpieza Cara,NIVEA,100,21153,0
PC,PIEL1,Limpieza Cara,NIVEA,100,21168,0
PC,PIEL1,Limpieza Cara,NIVEA,100,21159,0
PC,PIEL2,Liquido,NIVEA,250,20864,0
PC,PIEL2,Liquido,NIVEA,220,20419,0
PC,PIEL2,Barra,NIVEA,90,20058,0
PC,PIEL2,Barra,NIVEA,350,20619,0
PC,PIEL2,Barra,NIVEA,90,20283,0
PC,PIEL2,Barra,NIVEA,90,20486,0
PC,PIEL2,Liquido,NIVEA,250,20892,0
PC,PIEL2,Liquido,NIVEA,250,21013,0
PC,PIEL2,Liquido,NIVEA,250,20874,0
PC,PIEL2,Liquido,NIVEA,250,20788,0
PC,PIEL2,Liquido,NIVEA,250,21107,0
PC,PIEL2,Liquido,NIVEA,220,21004,0
PC,PIEL2,Liquido,NIVEA,250,21021,0
PC,PIEL2,Liquido,NIVEA,250,21006,0
PC,PIEL2,Barra,NIVEA,90,20896,0
PC,PIEL2,Barra,NIVEA,90,20488,0
PC,PIEL2,Barra,NIVEA,90,20711,0
PC,PIEL1,Cara,NIVEA,250,21267,0
PC,PIEL1,Cuerpo,NIVEA,470,21252,0
PC,PIEL1,Cuerpo,NIVEA,200,21269,0
PC,DEOS,Aero,NIVEA,89,20605,0
PC,CABELLO,Tratamiento Masc,NIVEA,300,20942,0
PC,CABELLO,Tratamiento Masc,NIVEA,300,20899,0
PC,CABELLO,Tratamiento Masc,NIVEA,300,21060,0
PC,DEOS,Aero,NIVEA,89,20500,0
PC,PIEL2,Jabon Barba,NIVEA,90,20775,0
PC,DEOS,Aero,NIVEA,70,21243,0
PC,DEOS,Aero,NIVEA,89,20744,0
PC,DEOS,Aero,NIVEA,89,20639,0
PC,DEOS,Aero,NIVEA,150,20932,0
PC,PIEL2,Barra,NIVEA,90,20782,0
PC,CABELLO,POST WASH,NIVEA,100,21130,0
PC,CABELLO,SHAMPOO,NIVEA,400,20628,0
PC,CABELLO,SHAMPOO,NIVEA,200,20784,0
PC,CABELLO,SHAMPOO,NIVEA,200,20914,0
PC,CABELLO,SHAMPOO,NIVEA,400,20857,0
PC,CABELLO,SHAMPOO,NIVEA,200,20789,0
PC,CABELLO,SHAMPOO,NIVEA,200,20819,0
PC,CABELLO,SHAMPOO,NIVEA,400,20690,0
PC,CABELLO,SHAMPOO,NIVEA,400,20686,0
PC,CABELLO,SHAMPOO,NIVEA,750,20704,0
PC,CABELLO,SHAMPOO,NIVEA,200,20400,0
PC,CABELLO,SHAMPOO,NIVEA,400,20275,0
PC,CABELLO,SHAMPOO,NIVEA,200,20837,0
PC,CABELLO,SHAMPOO,NIVEA,400,20710,0
PC,CABELLO,NUTRICION,NIVEA,200,20541,0
PC,CABELLO,NUTRICION,NIVEA,400,20351,0
PC,CABELLO,SHAMPOO,NIVEA,200,20365,0
PC,CABELLO,SHAMPOO,NIVEA,400,20244,0
PC,CABELLO,SHAMPOO,NIVEA,400,20791,0
PC,CABELLO,SHAMPOO,NIVEA,750,20406,0
PC,CABELLO,SHAMPOO,NIVEA,750,20938,0
PC,CABELLO,SHAMPOO,NIVEA,400,20861,0
PC,CABELLO,SHAMPOO,NIVEA,200,20880,0
PC,CABELLO,SHAMPOO,NIVEA,400,20747,0
PC,CABELLO,SHAMPOO,NIVEA,10,20894,0
PC,CABELLO,SHAMPOO,NIVEA,180,20334,0
PC,CABELLO,SHAMPOO,NIVEA,750,20829,0
PC,CABELLO,SHAMPOO,NIVEA,200,20309,0
PC,CABELLO,SHAMPOO,NIVEA,400,20189,0
PC,CABELLO,SHAMPOO,NIVEA,750,20342,0
PC,CABELLO,SHAMPOO,NIVEA,930,21177,0
PC,CABELLO,SHAMPOO,NIVEA,200,20529,0
PC,CABELLO,SHAMPOO,NIVEA,400,20397,0
PC,CABELLO,SHAMPOO,NIVEA,750,20767,0
PC,CABELLO,SHAMPOO,NIVEA,200,20900,0
PC,CABELLO,SHAMPOO,NIVEA,400,20688,0
PC,CABELLO,SHAMPOO,NIVEA,750,20911,0
PC,CABELLO,SHAMPOO,NIVEA,400,20615,0
PC,CABELLO,SHAMPOO,NIVEA,400,20377,0
PC,CABELLO,SHAMPOO,NIVEA,180,20671,0
PC,CABELLO,SHAMPOO,NIVEA,200,20573,0
PC,CABELLO,SHAMPOO,NIVEA,200,20779,0
PC,CABELLO,SHAMPOO,NIVEA,400,20298,0
PC,CABELLO,SHAMPOO,NIVEA,750,20888,0
PC,CABELLO,SHAMPOO,NIVEA,400,20621,0
PC,CABELLO,SHAMPOO,NIVEA,400,20584,0
PC,CABELLO,SHAMPOO,NIVEA,400,20968,0
PC,CABELLO,Tratamiento Fem,NIVEA,150,21189,0
PC,CABELLO,Tratamiento Fem,NIVEA,170,20997,0
PC,CABELLO,Tratamiento Fem,NIVEA,170,20902,0
PC,CABELLO,Tratamiento Fem,NIVEA,170,21145,0
PC,CABELLO,Tratamiento Fem,NIVEA,350,20832,0
HC,ROPA LAVADO,Liquido,ROPEX1,3000,20104,0
HC,ROPA LAVADO,Liquido,ROPEX1,1500,20333,0
HC,ROPA LAVADO,Liquido,ROPEX1,1500,20247,0
HC,ROPA LAVADO,Liquido,ROPEX1,400,20236,0
